From;To;Resources;Network_type;tc_min;tc_max
CB;LP;GASOLINE;GASOLINE_PIPELINE;0;0.210000
LP;CB;GASOLINE;GASOLINE_PIPELINE;0;0.210000
CB;OR;GASOLINE;GASOLINE_PIPELINE;0;0.210000
OR;CB;GASOLINE;GASOLINE_PIPELINE;0;0.210000
CB;SC;GASOLINE;GASOLINE_PIPELINE;0;0.037900
SC;CB;GASOLINE;GASOLINE_PIPELINE;0;0.037900
SC;SC-CC;GASOLINE;GASOLINE_PIPELINE;0;0.065900
SC-CC;SC;GASOLINE;GASOLINE_PIPELINE;0;0.065900
SC-CC;CH;GASOLINE;GASOLINE_PIPELINE;0;0.065000
CH;SC-CC;GASOLINE;GASOLINE_PIPELINE;0;0.065000
CH;PT;GASOLINE;GASOLINE_PIPELINE;0;0.046600
PT;CH;GASOLINE;GASOLINE_PIPELINE;0;0.046600
CB;LP;LPG;LPG_PIPELINE;0;0.088287
LP;CB;LPG;LPG_PIPELINE;0;0.088287
CB;OR;LPG;LPG_PIPELINE;0;0.088287
OR;CB;LPG;LPG_PIPELINE;0;0.088287
CB;SC;LPG;LPG_PIPELINE;0;0.015914
SC;CB;LPG;LPG_PIPELINE;0;0.015914
SC;SC-CC;LPG;LPG_PIPELINE;0;0.027661
SC-CC;SC;LPG;LPG_PIPELINE;0;0.027661
SC-CC;CH;LPG;LPG_PIPELINE;0;0.027282
CH;SC-CC;LPG;LPG_PIPELINE;0;0.027282
CH;PT;LPG;LPG_PIPELINE;0;0.019544
PT;CH;LPG;LPG_PIPELINE;0;0.019544
CB;LP;LFO;LFO_PIPELINE;0;0.008107
LP;CB;LFO;LFO_PIPELINE;0;0.008107
CB;OR;LFO;LFO_PIPELINE;0;0.008107
OR;CB;LFO;LFO_PIPELINE;0;0.008107
CB;SC;LFO;LFO_PIPELINE;0;0.001461
SC;CB;LFO;LFO_PIPELINE;0;0.001461
SC;SC-CC;LFO;LFO_PIPELINE;0;0.002540
SC-CC;SC;LFO;LFO_PIPELINE;0;0.002540
SC-CC;CH;LFO;LFO_PIPELINE;0;0.002505
CH;SC-CC;LFO;LFO_PIPELINE;0;0.002505
CH;PT;LFO;LFO_PIPELINE;0;0.001795
PT;CH;LFO;LFO_PIPELINE;0;0.001795
CB;LP;JET_FUEL;JET_FUEL_PIPELINE;0;0.008107
LP;CB;JET_FUEL;JET_FUEL_PIPELINE;0;0.008107
CB;OR;JET_FUEL;JET_FUEL_PIPELINE;0;0.008107
OR;CB;JET_FUEL;JET_FUEL_PIPELINE;0;0.008107
CB;SC;JET_FUEL;JET_FUEL_PIPELINE;0;0.001461
SC;CB;JET_FUEL;JET_FUEL_PIPELINE;0;0.001461
SC;SC-CC;JET_FUEL;JET_FUEL_PIPELINE;0;0.002540
SC-CC;SC;JET_FUEL;JET_FUEL_PIPELINE;0;0.002540
SC-CC;CH;JET_FUEL;JET_FUEL_PIPELINE;0;0.002505
CH;SC-CC;JET_FUEL;JET_FUEL_PIPELINE;0;0.002505
CH;PT;JET_FUEL;JET_FUEL_PIPELINE;0;0.001795
PT;CH;JET_FUEL;JET_FUEL_PIPELINE;0;0.001795
CB;SC;H2;H2_RETROFITTED;0;0
SC;CB;H2;H2_RETROFITTED;0;0
CB;SC;H2;H2_NEW;0;0
SC;CB;H2;H2_NEW;0;0
BN;BN-IT;ELECTRICITY;HVAC_LINE;0;0
BN-IT;BN;ELECTRICITY;HVAC_LINE;0;0
BN;BN-YC;ELECTRICITY;HVAC_LINE;0;0
BN-YC;BN;ELECTRICITY;HVAC_LINE;0;0
BN;PA-NA;ELECTRICITY;HVAC_LINE;0;0
PA-NA;BN;ELECTRICITY;HVAC_LINE;0;0
SC;SC-VL;ELECTRICITY;HVAC_LINE;0;0
SC-VL;SC;ELECTRICITY;HVAC_LINE;0;0
TJ;TJ-BE;ELECTRICITY;HVAC_LINE;0;0
TJ-BE;TJ;ELECTRICITY;HVAC_LINE;0;0
